held_out_site,roi_set,model,auc_point,auc_ci_low,auc_ci_high,seed_sd,seed_min,seed_max,balanced_accuracy_point,balanced_accuracy_seed_sd,f1_macro_point,f1_macro_seed_sd,sensitivity_point,sensitivity_seed_sd,specificity_point,specificity_seed_sd
NYU,12,brainnetcnn,0.575683269476373,0.5085561941251596,0.6418914431673052,0.0446012961587145,0.5355044699872287,0.6490421455938697,0.5155938697318008,0.0226643816898689,0.3930732892891421,0.0854420243037715,0.1622222222222222,0.2966479394838265,0.8689655172413794,0.2673000800689404
NYU,12,logreg,0.5600255427841634,0.4716443167305236,0.6463601532567049,,,,0.5473180076628352,,0.5468509984639017,,0.5888888888888889,,0.5057471264367817,
NYU,116,brainnetcnn,0.5454150702426566,0.4812765006385696,0.6075357598978289,0.0305273139909816,0.5037037037037038,0.5701149425287356,0.5416091954022988,0.0257641113471437,0.5197641224739233,0.0470773505267701,0.3866666666666666,0.1564261352922495,0.6965517241379311,0.1252820836178272
NYU,116,logreg,0.5565772669220944,0.4701149425287356,0.6390836526181354,,,,0.5503831417624521,,0.5402597402597402,,0.4111111111111111,,0.6896551724137931,
Peking,12,brainnetcnn,0.5622365484750806,0.4861629060252913,0.635234316885693,0.0235022624052872,0.5428961071162907,0.5928589139598314,0.514009422266303,0.0129545780385289,0.4820215394452934,0.0443707457776377,0.3729729729729729,0.2465244162376514,0.6550458715596331,0.2433874235167062
Peking,12,logreg,0.5283907760971981,0.4406118274237541,0.6151748078353583,,,,0.5269650384329283,,0.5200995850622407,,0.3108108108108108,,0.7431192660550459,
Peking,116,brainnetcnn,0.5182494421026531,0.4582389040416564,0.5787013389536325,0.0277932136818334,0.4769402429952888,0.5504587155963303,0.5262087775849243,0.0365626153331423,0.5186954802246388,0.0328019889578705,0.4432432432432432,0.1261904597830135,0.6091743119266055,0.1649591288238025
Peking,116,logreg,0.5426481527398959,0.4528855690552938,0.6286914207785766,,,,0.5554178031242252,,0.5556039850560399,,0.4594594594594595,,0.6513761467889908,
NeuroIMAGE,12,brainnetcnn,0.6331550802139038,0.4780748663101605,0.7732620320855614,0.0179761885710926,0.6122994652406417,0.6577540106951871,0.5256684491978609,0.0220365306247481,0.4462248727081421,0.0569324791566642,0.3058823529411764,0.3706349176946674,0.7454545454545454,0.3470656212512923
NeuroIMAGE,12,logreg,0.6390374331550802,0.4572192513368984,0.8048128342245989,,,,0.5922459893048129,,0.5883180858550316,,0.4117647058823529,,0.7727272727272727,
NeuroIMAGE,116,brainnetcnn,0.5005347593582888,0.3882219251336899,0.6144385026737967,0.1300081278241931,0.2914438502673797,0.6443850267379679,0.5080213903743316,0.07955949635646,0.489552942642449,0.0952919997917371,0.2705882352941176,0.1219790667842807,0.7454545454545455,0.0518261556863244
NeuroIMAGE,116,logreg,0.5721925133689839,0.3877005347593583,0.7460561497326194,,,,0.4786096256684491,,0.4786096256684491,,0.4117647058823529,,0.5454545454545454,
OHSU,12,brainnetcnn,0.631015037593985,0.5039426691729324,0.7526315789473684,0.0372375015597859,0.5714285714285714,0.6625939849624061,0.5875939849624061,0.0209356645971124,0.5567941289853376,0.0394375574170516,0.6857142857142857,0.2148801279498761,0.4894736842105263,0.2068762527056163
OHSU,12,logreg,0.5328947368421053,0.3919172932330827,0.6710526315789473,,,,0.5103383458646616,,0.4805555555555555,,0.6785714285714286,,0.3421052631578947,
OHSU,116,brainnetcnn,0.4960526315789473,0.3928571428571429,0.6007518796992481,0.075599204340964,0.4285714285714285,0.6127819548872182,0.5050751879699249,0.0784833526207243,0.4930949316353686,0.0803610348975963,0.5785714285714285,0.0774267263881385,0.431578947368421,0.0995140547431002
OHSU,116,logreg,0.443609022556391,0.3016917293233083,0.5892857142857143,,,,0.4971804511278195,,0.4636638031112143,,0.6785714285714286,,0.3157894736842105,
